timestamp,intersection_id,vertical_waiting,horizontal_waiting,current_vertical_light,current_horizontal_light,action_taken,reward
1756180716.8670757,main,0,29,green,red,stay,0
1756180717.0526319,main,0,29,green,red,stay,0
1756180717.252204,main,0,29,green,red,stay,0
1756180717.4409404,main,0,29,green,red,stay,0
1756180717.636459,main,0,29,green,red,stay,0
1756180717.819267,main,0,29,green,red,stay,0
1756180718.0056338,main,0,29,green,red,stay,0
1756180718.1786392,main,0,29,green,red,stay,0
1756180718.3576214,main,0,29,green,red,stay,0
1756180718.5729442,main,0,29,green,red,stay,0
1756180718.757546,main,0,29,green,red,stay,0
1756180718.9624548,main,0,29,green,red,stay,0
1756180719.1466205,main,0,29,green,red,stay,0
1756180719.3584533,main,0,29,green,red,stay,0
1756180719.5757024,main,0,29,green,red,stay,0
1756180719.7752533,main,0,29,green,red,stay,0
1756180748.2549977,main,32,0,green,red,stay,0
1756180748.4292989,main,32,0,green,red,stay,0
1756180748.6616542,main,32,0,green,red,stay,0
1756180748.8357325,main,32,0,green,red,stay,0
1756180749.0613203,main,32,0,green,red,stay,0
1756180749.2774785,main,32,0,green,red,stay,0
1756180749.4692428,main,32,0,green,red,stay,0
1756180749.6777194,main,32,0,green,red,stay,0
1756180749.893102,main,32,0,green,red,stay,0
1756180750.0839844,main,32,0,green,red,stay,0
1756180750.2839315,main,32,0,green,red,stay,0
1756180750.4758344,main,32,0,green,red,stay,0
1756180750.6936061,main,32,0,green,red,stay,0
1756180750.8940234,main,32,0,green,red,stay,0
1756180751.051495,main,32,0,green,red,stay,0
1756180751.3252451,main,32,0,green,red,stay,0
1756180751.4932535,main,32,0,green,red,stay,0
1756180755.37265,main,32,0,green,red,stay,0
1756180755.5783231,main,32,0,green,red,stay,0
1756180766.962085,main,46,0,green,red,stay,0
1756180767.162716,main,46,0,green,red,stay,0
1756180767.3583856,main,46,0,green,red,stay,0
1756180767.5464716,main,46,0,green,red,stay,0
1756180767.7144067,main,46,0,green,red,stay,0
1756180767.9140801,main,46,0,green,red,stay,0
1756180768.1253257,main,46,0,green,red,stay,0
1756180768.3254437,main,46,0,green,red,stay,0
1756180768.5417957,main,46,0,green,red,stay,0
1756180770.3118615,main,46,0,green,red,stay,0
1756180770.3121161,main,46,0,green,red,stay,0
1756180770.3121817,main,46,0,green,red,stay,0
1756180770.312319,main,46,0,green,red,stay,0
1756180770.4659557,main,46,0,green,red,stay,0
1756180786.3060842,main,0,44,green,red,stay,0
1756180786.490045,main,0,44,green,red,stay,0
1756180786.6677115,main,0,44,green,red,stay,0
1756180786.8493261,main,0,44,green,red,stay,0
1756180787.033575,main,0,44,green,red,stay,0
1756180787.2352297,main,0,44,green,red,stay,0
1756180787.437125,main,0,44,green,red,stay,0
1756180787.6262977,main,0,44,green,red,stay,0
1756180787.8281422,main,0,44,green,red,stay,0
1756180788.050743,main,0,44,green,red,stay,0
1756180788.258756,main,0,44,green,red,stay,0
1756180788.4745014,main,0,44,green,red,stay,0
1756180788.6845522,main,0,44,green,red,stay,0
1756180788.884989,main,0,44,green,red,stay,0
1756180789.0901628,main,0,44,green,red,stay,0
1756180789.2852602,main,0,44,green,red,stay,0
1756180789.4698415,main,0,44,green,red,stay,0
1756180789.6571872,main,0,44,green,red,stay,0
1756180789.8685286,main,0,44,green,red,stay,0
1756180790.044112,main,0,44,green,red,stay,0
1756180790.4895713,main,0,44,green,red,stay,0
1756180796.565705,main,27,44,green,red,stay,0
1756180796.7393928,main,27,44,green,red,stay,0
